ambiguous,unambiguous
小王看小张很惊讶,孩子堆沙堡特别专注
李娜夸小雪很不错,姐姐铺床单平平的
张杰批评小明很坏,爸爸扫地板亮亮的
小张支持小李很坚定,爷爷修椅子稳稳的
小刚评价小丽很温和,姐姐编花环精致美丽
小李分享经验很有趣,爷爷敲核桃碎碎的
孙伟支持团队很团结,学生整理书籍很有序
朱莉质疑观点很奇怪,姐姐编花环精致美丽
马克关注健康很重要,运动员训练动作特别规范
陆军想念家乡很温暖,护士照顾病人周到
田雨分析问题很复杂,医生检查伤口相当仔细。
妈妈夸奖孩子很不错,妈妈整理房间整洁
教练鼓励运动员很不错,运动员完成动作完美
赵虎提醒小李很重要,爷爷修桌椅稳固
陈静质疑老板很苛刻,老师批作业批得仔细
林娜分享经验很有趣,姐姐编花环精致美丽
张伟提醒大家很关键,医生诊断病情准确
刘婷夸奖妹妹很不错,妹妹折纸鹤折得精巧
妈妈夸孩子很好,妈妈切水果异常熟练。
记者报道新闻很客观,医生诊断病情准确
小明夸小红很好,孩子点亮灯泡明亮
记者采访明星很专业,导演拍摄镜头精准
李华讲题很简单,老师讲解数学题非常清楚。
朋友鼓励我很真诚,老师讲解题目很耐心
叔叔讲故事很生动,老师讲故事生动
老人讲述经历很感人,老人播放音乐舒缓
领导表扬团队很不错,球员踢进点球狂喜
教练指导运动员灵活,运动员完成动作完美
作家写小说很精彩,作家编写故事精彩
小明讲妈妈温柔,孩子点亮灯泡明亮
朋友鼓励我积极,学生解答难题兴奋
老人讲故事生动,老师讲故事生动
朋友分享经验有趣,老师讲故事生动
爷爷讲故事很生动,老师讲故事生动
他讲故事很有趣,老师讲故事生动
老师批评学生很马虎,老师批作业仔细
妈妈教孩子很认真,妈妈打扫房间干净
兄弟支持我很坚定,弟弟吹气球大大的
朋友鼓励我很坚定,孩子踢球力气大
他们陪我很快乐,孩子堆沙堡特别专注
她分享经验很宝贵,妈妈整理房间整洁
朋友支持我很真诚,医生诊断病情准确
小李赞美小红善良,姐姐浇花认真
叔叔提醒侄子谨慎,司机驾驶卡车很谨慎
导演批评演员浮夸,导演拍摄镜头精准
记者采访市长果断,医生诊断病情准确
老师教导学生谦虚,老师讲解题目很耐心
作家写文章很精彩,作家编写故事精彩
小李提醒小华细心,医生检查病人仔细
老王抱怨邻居吵闹,老人播放音乐舒缓
小王提醒小张谦虚,司机驾驶卡车很谨慎
小红赞美小雪温柔,姐姐铺床单平平的
小明批评小强粗暴,孩子踢球力气大
阿姨夸邻居很热情,姐姐打扫房间整洁
教练鼓励队员很努力,老师讲解题目很耐心
她骂同事很严厉,妈妈打扫房间干净
他们分享经验很有趣,老师讲故事生动
导演指责演员不专业,导演拍摄镜头精准
爷爷教导孙子诚实,爷爷敲核桃碎碎的
医生劝告病人谨慎,医生检查病人仔细
学长指导学弟认真,老师批改作业仔细
爷爷教导孙子明理,爷爷修桌椅稳固
学生讨论问题复杂,学生回答问题流利
领导指示团队高效,程序员写代码高效
小李提醒朋友谨慎,司机驾驶卡车很谨慎
小张指教同事细心,护士照顾病人周到
小明赞美姐姐优雅,姐姐弹钢琴十分优雅
小李提醒同学认真,老师摆放作业本整整齐齐
小王询问同事负责,爷爷敲核桃碎碎的
小张批评邻居吵闹,歌手弹吉他节奏稳定
刘强提醒同事很重要,学生记单词特别认真
林峰劝告朋友很明智,医生诊断病情准确
冯雪提醒伙伴很及时,医生诊断病情准确
周娜夸奖朋友很真诚,姐姐浇花认真
爷爷讲述故事很有趣,爷爷修椅子稳稳的
记者采访市长很坦诚,老师讲解题目很耐心
司机提醒乘客很重要,司机驾驶卡车很谨慎
老师表扬学生积极,老师批改作业仔细
领导提醒员工谨慎,司机驾驶卡车很谨慎
兄弟鼓励对方乐观,弟弟吹气球大大的
朋友提醒小李谦虚,司机驾驶卡车很谨慎
领导赞美团队团结,作家编写故事精彩
张杰指控小李狡猾,爷爷敲核桃碎碎的
郑宇责备小张傲慢,作家编写故事精彩
孔丽赞美小王善良,姐姐编花环精致美丽
朱明批评小李粗鲁,爷爷敲核桃碎碎的
许婷称赞小周谦虚,姐姐浇花认真
冯伟夸奖小李热情,爷爷敲核桃碎碎的
蔡敏指责小赵懦弱,孩子堆沙堡特别认真。
魏强批评小李粗暴,爷爷敲核桃碎碎的
林娜称赞小陈真诚,姐姐浇花认真
张伟安慰同学很温暖,医生检查病人耐心
赵强批评队员很严厉,医生检查伤口相当仔细。
陈丽支持朋友很坚定,姐姐编花环精致美丽
赵强嘲笑小华无知,医生检查伤口相当仔细。
刘杰埋怨小刚无礼,医生检查伤口相当仔细。
小芳赞扬小丽大方,姐姐编花环精致美丽
小王指责小李自私,爷爷敲核桃碎碎的
小赵夸奖小白细心,木匠修桌椅牢固稳当
小翠赞美小芳温柔,姐姐编花环精致美丽
小东批评小宁粗暴,医生检查伤口相当仔细。
小海指责小波傲慢,医生检查伤口相当仔细。
老师表扬学生们很努力,老师布置作业认真
医生劝病人很谨慎,医生检查病人仔细
记者采访明星很亲切,游客拍摄照片美丽
小李抱怨小张自私,哥哥叠被褥整齐
小陈提醒小王细心,医生检查病人耐心
小丽劝告小明冷静,姐姐擦拭黑板很明亮
小王提醒小张谨慎,司机驾驶卡车很谨慎
小李批评小王鲁莽,爷爷敲核桃碎碎的
小明赞美小红温柔,姐姐浇花认真
小丽鼓励小刚积极,妹妹折纸鹤折得精巧
小张赞美同学很真挚,妹妹折纸鹤折得精巧
小李鼓励队友很积极,爷爷敲核桃碎碎的
小王分享经验很有趣,老师讲故事生动
小张提醒朋友很细心,护士照顾病人周到
小张支持伙伴很坚定,学生整理书籍很有序
桌子的腿和桌面,桌子的桌腿和抽屉
椅子的靠背和坐垫,桌子的桌腿和抽屉
手机的屏幕和外壳,手机的屏幕和电池
钟表的表盘和指针,手表的表带和表盘
衣服的领子和袖子,衣服的领口和袖口
电脑的键盘和屏幕,电脑的键盘和鼠标
手机的壳和电池,手机的屏幕和电池
饮料的酒精和糖分,蛋糕的奶油和糖霜
药品的成分和副作用,书的封面和目录
花园的篱笆和花朵,荷花的莲蓬和藕节
天空的云朵和星星,雪花的形状和晶体
森林的树木和鸟鸣,羽毛的羽轴和羽枝
家庭的成员和宠物,羽毛的羽轴和羽枝
学校的老师和学生,学校的教室和操场
公司的员工和老板,订书机的钉匣和压板
医院的医生和病人,树叶的叶脉和叶柄
博物馆的展品和游客,花瓶的花纹和瓶口
艺术家的画作和灵感,画框的边框和挂钩
音乐家的乐器和旋律,琴谱的音符和节拍
舞蹈家的舞步和节奏,蝴蝶的翅膀和触角
建筑的结构和装饰,房屋的屋顶和地基
软件的代码和界面,书的封面和目录
硬件的芯片和外壳,银行卡的芯片和磁条
新闻的标题和内容,报纸的标题和专栏
杂志的封面和文章,书的封面和目录
健身房的器材和教练,学校的教室和操场
餐厅的菜单和顾客,饺子的馅料和面皮
咖啡馆的咖啡和甜点,咖啡的香气和味道
铅笔的杆子和橡皮,铅笔的笔芯和橡皮
沙发的靠垫和框架,桌子的桌腿和抽屉
背包的背部和口袋,钱包的夹层和拉链
手机的机身和屏幕,手机的屏幕和电池
自行车的车轮和链条,自行车的车把和脚踏
玩具的部件和电池,手电筒的电池和灯珠
衣服的布料和图案,衣服的领口和袖口
乐器盒的乐器和配件,电话的听筒和按键
相机包的相机和三脚架,帐篷的支架和拉链
游戏机的手柄和游戏卡,电话的听筒和按键
化妆包的化妆品和镜子,眼镜的镜片和镜腿
运动包的球衣和运动鞋,鞋子的鞋带和鞋底
文件夹的文件和封面,书的封面和目录
笔记本的纸张和封面,书的封面和目录
计算机的壳和软件,手机的屏幕和电池
窗的框和玻璃,画框的边框和挂钩
政治的权力与法律,船锚的铁链和锚爪
数学的数字与公式,电脑的程序和文件
艺术的风格与技巧,风筝的线和骨架
桌子和椅子的腿,桌子和椅子的材质
猫和狗的窝,猫和兔子的跳跃力
苹果和梨的皮,苹果和香蕉的营养
风和沙的舞蹈,沙漠和雪原的生态
火和烟的痕迹,高山和火山的活动
和平和战争的阴影,白天和夜晚的噪音
音乐和舞蹈的节奏,诗歌和音乐的节奏
诗歌和散文的意境,小说和诗歌的意境
科技和伦理的边界,小说和传记的真实性
苹果和香蕉的香味,苹果和香蕉的营养
书籍和纸张的质感,纸张和墨水的用途
鸟和鸟的歌声,诗歌和音乐的节奏
鱼和海的味道,牛奶和椰汁的味道
游戏和玩具的乐趣,诗歌和书法的美感
花和叶子的颜色,春天和夏天的花期
画和画的框架,油画和水彩的技法
戒指和手指的装饰,手机和手表的电量
茶和咖啡的香气,牛奶和椰汁的味道
简单和复杂的概念,油画和素描的难度
轻松和紧张的气氛,电影和戏剧的时长
传统和现代的风格,画家和作家的风格
成功和失败的结果,小说和神话的象征
希望和恐惧的感受,小说和戏剧的冲突
友谊和敌意的关系,小说和戏剧的冲突
创新和守旧的思想,小说和神话的象征
开放和封闭的心态,小说和诗歌的意境
自由和约束的界限,城市和乡村的差异
苹果和香蕉的拼盘,苹果和香蕉的营养
知识和智慧的积累,米饭和面条的销量
历史和未来的展望,小说和神话的象征
国内和国际的视野,小说和传记的真实性
独立和依赖的界限,中医和西医的理论
平静和动荡的心情,白天和夜晚的噪音
生活和工作的压力,小说和传记的真实性
快乐和悲伤的回声,诗歌和音乐的节奏
安全和风险的考量,小说和传记的真实性
梦想和希望的火花,小说和神话的象征
健康和均衡的饮食,早餐和晚餐的种类
知识和技能的提升,小说和神话的象征
健康和生活的质量,小说和传记的真实性
知识和智慧的传承,小说和神话的象征
成功和努力的结果,小说和神话的象征
梦想和现实的世界,小说和戏剧的冲突
苹果和香蕉的甜度,西瓜和葡萄的甜度
猫和狗的毛发,猫和兔子的跳跃力
书和笔的重量,纸张和墨水的用途
铁和铜的硬度,钢笔和毛笔的笔触
沙子和石头的颗粒,沙漠和雪原的生态
衣服和鞋子的尺码,夏天和冬天的服装
科学与宗教的争议,小说和戏剧的冲突
爱情和友情的界限,城市和乡村的差异
经济与环境的挑战,高山和峡谷的险峻
艺术与设计的灵感,诗歌和书法的美感
手机和充电器的连,手机和手表的电量
相册和照片的页,手机和相机的像素
花园和花朵的色,春天和夏天的花期
森林和树木的绿,树木和花草的养护
天空和云朵的蓝,红色和蓝色的含义
海洋和波浪的白,青蛙和蝌蚪的形态
火和烟的味道,铅笔和蜡笔的颜色
星星和月亮的夜晚,太阳和月亮的轨迹
糖和盐的容器,米饭和粥的稠度
旅行和冒险的激情,小说和神话的象征
运动和健康的伙伴,小说和神话的象征
语言和思想的交流,小说和神话的象征
自我和他人的理解,小说和传记的真实性
孤独和人群的对比,城市和乡村的差异
科学和神秘的探索,小说和神话的象征
和谐和冲突的交响,小说和戏剧的冲突
